,W,D,L,GF,GA,GD,Pts,Place
Man City,27,5,6,83,32,51,86,1
Man United,21,11,6,73,44,29,74,2
Liverpool,20,9,9,68,42,26,69,3
Chelsea,19,10,9,58,36,22,67,4
Leicester,20,6,12,68,50,18,66,5
West Ham,19,8,11,62,47,15,65,6
Tottenham,18,8,12,68,45,23,62,7
Arsenal,18,7,13,55,39,16,61,8
Leeds,18,5,15,62,54,8,59,9
Everton,17,8,13,47,48,-1,59,10
Aston Villa,16,7,15,55,46,9,55,11
Newcastle,12,9,17,46,62,-16,45,12
Wolves,12,9,17,36,52,-16,45,13
Crystal Palace,12,8,18,41,66,-25,44,14
Southampton,12,7,19,47,68,-21,43,15
Brighton,9,14,15,40,46,-6,41,16
Burnley,10,9,19,33,55,-22,39,17
Fulham,5,13,20,27,53,-26,28,18
West Brom,5,11,22,35,76,-41,26,19
Sheffield United,7,2,29,20,63,-43,23,20
